title,currency,raw_price,usd_price,listing_url,image_url,fair_value,discount_pct,grade,sources,pricecharting_link,confidence,matched_card,search_term_used
2021 #2 Blastoise-Holo CGC 10 Celebrations Classic Collection Pokemon,SOL,60.0,4920.6,https://collectorcrypt.com/assets/solana/2ue3BEeaXvB2Dbq739GMAuzJrPpfheQrsyPisB8CTiw4,https://d1xpxki1g4htqu.cloudfront.net/2v5sFdtZNJHJVotKNCJfZFDz9kcFO8onqKmgIQkuK7o,18.68,-26241.5,CGC 10,['PriceCharting'],https://www.pricecharting.com/game/pokemon-platinum/blastoise-reverse-holo-2,0.95,Blastoise [Reverse Holo] #2Pokemon Platinum,holo blastoise #2
2023 #006 Charizard EX PSA 10 Japanese Sv2a- 151 Pokemon,SOL,38.0,3116.38,https://collectorcrypt.com/assets/solana/Hf7yA2WCaxnTFdA186fd5AF9o5Zh1F7dgtUNpVmNzGq6,https://d1xpxki1g4htqu.cloudfront.net/6EvWECG6vtd-GtsvANDoigTpCQUZQJT78w9BQqoUufg,4.25,-73226.6,PSA 10,['PriceCharting'],https://www.pricecharting.com/game/pokemon-japanese-scarlet-&-violet-151/charizard-ex-6,0.95,Charizard EX #6Pokemon Japanese Scarlet & Violet 151,ex charizard #6
2006 #30 Charmeleon-Reverse Foil PSA 6 EX Crystal Guardians Pokemon,SOL,1.0,82.01,https://collectorcrypt.com/assets/solana/3NWWNs3odSmSuYC9yqmt7zpHhd7cRQAkEeVKcH4JLPMf,https://d1xpxki1g4htqu.cloudfront.net/d6u7-HYP9qSusz7huQxEh3cIlKnPAkB551KeJUUHe9I,39.74,-106.4,PSA 6,['PriceCharting'],https://www.pricecharting.com/game/pokemon-crystal-guardians/charmeleon-reverse-holo-30,0.95,Charmeleon [Reverse Holo] #30Pokemon Crystal Guardians,ex charmeleon #30
2018 #109 Rayquaza GX PSA 8 Sun & Moon Celestial Storm Pokemon,SOL,120.18,9855.96,https://collectorcrypt.com/assets/solana/FUzYWaQpVUDJwsPDefXP8o7exNNFcKAT61fRnfVzRaek,https://d1xpxki1g4htqu.cloudfront.net/uCcWpcaULQjqkoOrPBQj8CdUwM-vE9GPaDAyCsgy9_A,17.18,-57268.8,PSA 8,['PriceCharting'],https://www.pricecharting.com/game/pokemon-celestial-storm/rayquaza-gx-109,0.95,Rayquaza GX #109Pokemon Celestial Storm,gx rayquaza #109
2025 #003 Mega Gengar EX PSA 10 Japanese Mbg-Mega Starter Set Mega Gengar EX Pokemon,SOL,1.0,82.01,https://collectorcrypt.com/assets/solana/8ATtMNvgWkKaNqnH3DUNt95nriPKEdetzET29ijwrF9n,https://d1xpxki1g4htqu.cloudfront.net/7o1ezqTifUyBjSbf5iz2pnAUyxYVQOsgm9QHqDl-l3Q,6.93,-1083.4,PSA 10,['PriceCharting'],https://www.pricecharting.com/game/pokemon-japanese-mega-starter-deck-gengar-ex/mega-gengar-ex-3,0.95,Mega Gengar ex #3Pokemon Japanese Mega Starter Deck Gengar Ex,ex gengar #3
2023 #169 Charmeleon PSA 9 Japanese Sv2a- 151 Pokemon,SOL,0.5,41.01,https://collectorcrypt.com/assets/solana/AzfWB3psy1hEftzovr1fZhYZGEYKUuUrptFMw5qdQWVf,https://d1xpxki1g4htqu.cloudfront.net/0W5WKVhzUtmeh6wMXzLr18-QZwWfZOvqjyndrKxOOxU,16.63,-146.6,PSA 9,['PriceCharting'],https://www.pricecharting.com/game/pokemon-japanese-scarlet-&-violet-151/charmeleon-169,0.95,Charmeleon #169Pokemon Japanese Scarlet & Violet 151,v charmeleon #169
2025 #173 Eevee PSA 9 Svp EN-SV Black Star Promo Pokemon,SOL,4.0,328.04,https://collectorcrypt.com/assets/solana/EVsneJewModomgyHjuePGBFFmqWztet76CGQtmsq9RXH,https://d1xpxki1g4htqu.cloudfront.net/g3vUm_7PUR9deBG87419ak1GWcQCKc9TXDEcEpBdHz0,14.28,-2197.2,PSA 9,['PriceCharting'],https://www.pricecharting.com/game/pokemon-promo/eevee-173,0.95,Eevee #173Pokemon Promo,v eevee #173
2025 #173 Eevee PSA 9 Svp EN-SV Black Star Promo Pokemon,SOL,0.5,41.01,https://collectorcrypt.com/assets/solana/C7ayqZD74fZuRwqakUWARXZgwnFxCJrGmVEM6nNZqvSy,https://d1xpxki1g4htqu.cloudfront.net/M1w67chE_inOeibnOyxy6v_g4LfZq4Tv1BliMRdAcRw,14.28,-187.2,PSA 9,['PriceCharting'],https://www.pricecharting.com/game/pokemon-promo/eevee-173,0.95,Eevee #173Pokemon Promo,v eevee #173
2023 #008 Lapras CGC 10 Pristine Japanese Clk-Trading Card Game Classic Blastoise & Suicune EX Deck Pokemon,SOL,0.5,41.01,https://collectorcrypt.com/assets/solana/GScQgjgfAdc3GthTgkB4x1a4MGX6p5Lw55kA6LYmW9eN,https://d1xpxki1g4htqu.cloudfront.net/4Ze1kTzhTIgQuFEIipq2N7HEGuEHOkp_sp3Y3tLWztY,9.84,-316.8,CGC 10,['PriceCharting'],https://www.pricecharting.com/game/pokemon-japanese-scarlet-&-violet-151/blastoise-ex-186,0.95,Blastoise EX #186Pokemon Japanese Scarlet & Violet 151,ex blastoise #8
2007 #6 Lucario-Holo CGC 7.5 Diamond & Pearl Pokemon,SOL,1.0,82.01,https://collectorcrypt.com/assets/solana/DHU97ARZJwRSkRN93epq32Hgm4o4W1JmrkHghGJBLAE,https://d1xpxki1g4htqu.cloudfront.net/kYDBboa_tlqL3k3KVFaHoudaXImfimDEhRWkd6AYbNc,12.04,-581.1,CGC 7.5,['PriceCharting'],https://www.pricecharting.com/game/pokemon-diamond-&-pearl/lucario-reverse-holo-6,0.95,Lucario [Reverse Holo] #6Pokemon Diamond & Pearl,holo lucario #6
2023 #044 Charmander PSA 9 Svp EN-SV Black Star Promo Pokemon,SOL,310.0,25423.1,https://collectorcrypt.com/assets/solana/HAuoBmcEjXqPtL99e9QCA5cESWTkrCydNSKni7mfSMge,https://d1xpxki1g4htqu.cloudfront.net/3JSHPngMy_s8p-jVsk5VudU2lqrL3bwHYjX6bWE6qAo,69.64,-36406.5,PSA 9,['PriceCharting'],https://www.pricecharting.com/game/pokemon-promo/charmander-44,0.95,Charmander #44Pokemon Promo,v charmander #44
